,SubjectID,VideoID,size
0,0.0,0.0,144
1,0.0,1.0,140
2,0.0,2.0,142
3,0.0,3.0,122
4,0.0,4.0,116
5,0.0,5.0,123
6,0.0,6.0,116
7,0.0,7.0,112
8,0.0,8.0,124
9,0.0,9.0,122
10,1.0,0.0,140
11,1.0,1.0,142
12,1.0,2.0,122
13,1.0,3.0,116
14,1.0,4.0,144
15,1.0,5.0,123
16,1.0,6.0,124
17,1.0,7.0,122
18,1.0,8.0,131
19,1.0,9.0,137
20,2.0,0.0,140
21,2.0,1.0,142
22,2.0,2.0,122
23,2.0,3.0,116
24,2.0,4.0,144
25,2.0,5.0,123
26,2.0,6.0,116
27,2.0,7.0,113
28,2.0,8.0,131
29,2.0,9.0,137
30,3.0,0.0,140
31,3.0,1.0,142
32,3.0,2.0,116
33,3.0,3.0,144
34,3.0,4.0,144
35,3.0,5.0,123
36,3.0,6.0,113
37,3.0,7.0,124
38,3.0,8.0,131
39,3.0,9.0,137
40,4.0,0.0,140
41,4.0,1.0,142
42,4.0,2.0,122
43,4.0,3.0,116
44,4.0,4.0,144
45,4.0,5.0,123
46,4.0,6.0,124
47,4.0,7.0,122
48,4.0,8.0,131
49,4.0,9.0,131
50,5.0,0.0,144
51,5.0,1.0,140
52,5.0,2.0,142
53,5.0,3.0,122
54,5.0,4.0,116
55,5.0,5.0,123
56,5.0,6.0,116
57,5.0,7.0,113
58,5.0,8.0,124
59,5.0,9.0,122
60,6.0,0.0,140
61,6.0,1.0,142
62,6.0,2.0,122
63,6.0,3.0,116
64,6.0,4.0,144
65,6.0,5.0,123
66,6.0,6.0,116
67,6.0,7.0,113
68,6.0,8.0,122
69,6.0,9.0,137
70,7.0,0.0,140
71,7.0,1.0,142
72,7.0,2.0,122
73,7.0,3.0,116
74,7.0,4.0,144
75,7.0,5.0,123
76,7.0,6.0,116
77,7.0,7.0,124
78,7.0,8.0,131
79,7.0,9.0,118
80,8.0,0.0,140
81,8.0,1.0,142
82,8.0,2.0,122
83,8.0,3.0,116
84,8.0,4.0,144
85,8.0,5.0,123
86,8.0,6.0,124
87,8.0,7.0,122
88,8.0,8.0,131
89,8.0,9.0,118
90,9.0,0.0,144
91,9.0,1.0,140
92,9.0,2.0,142
93,9.0,3.0,122
94,9.0,4.0,116
95,9.0,5.0,123
96,9.0,6.0,116
97,9.0,7.0,112
98,9.0,8.0,124
99,9.0,9.0,122
